scenario,size,entity_renders,nodes_mounted,measure_calls,measurement_cache_hits,measurement_cache_misses,text_measurements,flex_base_calls,flex_item_calls,flex_sibling_visits,nodes_laid_out,visual_traversal_passes,visual_traversal_nodes,visual_context_derivations,visual_clip_intersections,visual_ancestor_pushes,visual_ancestor_pops,visual_ancestor_depth_peak,visual_context_stack_pushes,visual_context_stack_pops,visual_context_stack_depth_peak,visual_context_stack_overflows,visual_context_recomputations,visual_bounds_ancestor_visits,visual_nodes_visited,visible_nodes,nodes_painted
flat_list,8,1,18,146,32,114,80,88,32,16,18,1,18,10,0,10,10,3,7,7,1,0,0,0,18,18,17
flat_list,32,1,66,578,128,450,320,352,128,64,66,1,66,34,0,34,34,3,31,31,1,0,0,0,66,66,65
flat_list,128,1,258,2306,512,1794,1280,1408,512,256,258,1,258,130,0,130,130,3,127,127,1,0,0,0,258,258,257
flat_list,512,1,1026,9218,2048,7170,5120,5632,2048,1024,1026,1,1026,514,0,514,514,3,511,511,1,0,0,0,1026,1026,1025
flex_row,8,1,10,18,0,18,0,32,16,8,10,1,10,2,0,2,2,2,0,0,0,0,0,0,10,10,9
flex_row,32,1,34,66,0,66,0,128,64,32,34,1,34,2,0,2,2,2,0,0,0,0,0,0,34,34,33
flex_row,128,1,130,258,0,258,0,512,256,128,130,1,130,2,0,2,2,2,0,0,0,0,0,0,130,130,129
flex_row,512,1,514,1026,0,1026,0,2048,1024,512,514,1,514,2,0,2,2,2,0,0,0,0,0,0,514,514,513
nested,4,1,26,266,168,98,16,156,48,24,26,1,26,22,0,22,22,7,3,3,1,0,0,0,26,26,25
nested,16,1,98,1058,672,386,64,624,192,96,98,1,98,82,0,82,82,7,15,15,1,0,0,0,98,98,97
nested,64,1,386,4226,2688,1538,256,2496,768,384,386,1,386,322,0,322,322,7,63,63,1,0,0,0,386,386,385
nested,256,1,1538,16898,10752,6146,1024,9984,3072,1536,1538,1,1538,1282,0,1282,1282,7,255,255,1,0,0,0,1538,1538,1537
deep_chain,8,1,10,64,46,18,0,39,16,8,10,1,10,9,0,9,9,9,0,0,0,0,0,0,10,10,9
deep_chain,32,1,34,256,190,66,0,159,64,32,34,1,34,33,0,33,33,33,0,0,0,0,0,0,34,34,33
deep_chain,128,1,130,1024,766,258,0,639,256,128,130,1,130,129,0,129,129,129,0,0,0,0,0,0,130,130,129
deep_chain,512,1,514,4096,3070,1026,0,2559,1024,512,514,1,514,513,0,513,513,513,0,0,0,0,0,0,514,514,513
text_heavy,8,1,18,146,80,66,32,88,32,16,18,1,18,10,0,10,10,3,7,7,1,0,0,0,18,18,17
text_heavy,32,1,66,578,320,258,128,352,128,64,66,1,66,34,0,34,34,3,31,31,1,0,0,0,66,66,65
text_heavy,128,1,258,2306,1280,1026,512,1408,512,256,258,1,258,130,0,130,130,3,127,127,1,0,0,0,258,258,257
text_heavy,512,1,1026,9218,5120,4098,2048,5632,2048,1024,1026,1,1026,514,0,514,514,3,511,511,1,0,0,0,1026,1026,1025
scroll_list,8,1,18,138,24,114,80,80,32,8,18,1,18,10,1,10,10,3,7,7,1,0,0,0,18,18,17
scroll_list,32,1,66,546,96,450,320,320,128,32,66,1,66,34,1,34,34,3,31,31,1,0,0,0,66,66,65
scroll_list,128,1,258,2178,384,1794,1280,1280,512,128,258,1,258,130,1,130,130,3,127,127,1,0,0,0,258,258,257
scroll_list,512,1,1026,8706,1536,7170,5120,5120,2048,512,1026,1,1026,514,1,514,514,3,511,511,1,0,0,0,1026,1026,1025
mixed_screen,8,1,37,391,63,328,262,238,70,27,37,1,37,16,1,16,16,4,11,11,2,0,0,0,37,37,36
mixed_screen,32,1,109,1327,183,1144,934,766,214,75,109,1,109,40,1,40,40,4,35,35,2,0,0,0,109,109,108
mixed_screen,128,1,397,5071,663,4408,3622,2878,790,267,397,1,397,136,1,136,136,4,131,131,2,0,0,0,397,397,396
